查询日期,Excel代码,匹配Wind代码,证券简称,基本信息查询状态,行情查询状态,缺失指标,缺失字段代码,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809161.IB,809161.IB,24北京43,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809156.IB,809156.IB,24北京26,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809150.IB,809150.IB,24北京20,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809136.IB,809136.IB,24北京06,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809132.IB,809132.IB,24北京02,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809131.IB,809131.IB,24北京01,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809128.IB,809128.IB,24天津01,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809120.IB,809120.IB,23天津111,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809119.IB,809119.IB,23天津110,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809110.IB,809110.IB,23天津100,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809107.IB,809107.IB,23北京38,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809097.IB,809097.IB,23北京29,partial,partial,一般/专项分类；收盘价到期收益率（%）；剩余期限（年）；修正久期（年）；收盘净价（元）,bondType;yieldPct;remainingYears;duration;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,a2c0db82-090c-488b-968d-250ebecc8e27,a53bb63b-3e2f-416f-ab5b-fa9632bd1c32;8906ebc2-e69a-4e83-99a3-3bac393f3d94
