code,name,cohort,disposition,_diagnosticBucket,staticSyncStatus,regionId,bondType,issueDate,remainingYears,issueAmountYi,yieldPct,maturityDate,termYears,yieldDate,reason
101980.IB,23山东18,before_20250808,incomplete,only_missing_target_day_yield,completed,shandong,special,2023-03-24,6.545205479452054794520547945,1.55,,2033-03-27,7,,仅有指数收益率参考，不参与个券收益率汇总
101981.IB,23山东19,before_20250808,incomplete,only_missing_target_day_yield,completed,shandong,special,2023-03-24,6.545205479452054794520547945,1.7,,2033-03-27,7,,仅有指数收益率参考，不参与个券收益率汇总
101982.IB,23山东20,before_20250808,incomplete,outside_term_grid,completed,shandong,special,2023-03-24,26.55890410958904109589041096,28.55,,2053-03-27,27,,仅有指数收益率参考，不参与个券收益率汇总
101983.IB,23山东21,before_20250808,incomplete,outside_term_grid,completed,shandong,general,2023-03-24,3.542465753424657534246575342,201.85,,2030-03-27,4,,仅有指数收益率参考，不参与个券收益率汇总
101984.IB,23山东22,before_20250808,incomplete,outside_term_grid,completed,shandong,special,2023-03-24,3.542465753424657534246575342,39.88,,2030-03-27,4,,仅有指数收益率参考，不参与个券收益率汇总
101985.IB,23湖南17,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,11.54794520547945205479452055,14.99,,2038-03-27,12,,仅有指数收益率参考，不参与个券收益率汇总
101986.IB,23湖南18,before_20250808,incomplete,only_missing_target_day_yield,completed,hunan,special,2023-03-24,6.545205479452054794520547945,19.96,,2033-03-27,7,,仅有指数收益率参考，不参与个券收益率汇总
101987.IB,23湖南19,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,16.55068493150684931506849315,8.11,,2043-03-27,17,,仅有指数收益率参考，不参与个券收益率汇总
101988.IB,23湖南20,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,11.54794520547945205479452055,3.878,,2038-03-27,12,,仅有指数收益率参考，不参与个券收益率汇总
101989.IB,23湖南21,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,16.55068493150684931506849315,4.52,,2043-03-27,17,,仅有指数收益率参考，不参与个券收益率汇总
101990.IB,23湖南22,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,11.54794520547945205479452055,10.81,,2038-03-27,12,,仅有指数收益率参考，不参与个券收益率汇总
101991.IB,23湖南23,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,16.55068493150684931506849315,6.01,,2043-03-27,17,,仅有指数收益率参考，不参与个券收益率汇总
101992.IB,23湖南24,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,11.54794520547945205479452055,3.49,,2038-03-27,12,,仅有指数收益率参考，不参与个券收益率汇总
101993.IB,23湖南25,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,11.54794520547945205479452055,7.7,,2038-03-27,12,,仅有指数收益率参考，不参与个券收益率汇总
101994.IB,23湖南26,before_20250808,incomplete,outside_term_grid,completed,hunan,special,2023-03-24,16.55068493150684931506849315,8.34,,2043-03-27,17,,仅有指数收益率参考，不参与个券收益率汇总
