债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
26铁道16,100.22,2.28,-0.3,2.2836,4.1
24农发05,101.92,1.4525,1.0,1.4525,4.1
26中兵投资SCP002,100.0,1.5299,,1.5299,4.06
23附息国债26,108.17,1.469,1.0,1.4684,4.01
21浙江47,109.16,1.375,1.0,1.3749,4.0
21浙江债10,108.84,1.385,2.5,1.3844,4.0
24特别国债06,100.61,2.161,1.1,2.1528,4.0
23重庆02,115.23,1.73,-0.5,1.73,4.0
26工商银行CD114,99.28,1.4399,1.0,1.4399,4.0
26大唐集SCP014,100.0,1.4598,1.8,1.4553,4.0
26工商银行CD049,98.54,1.4724,-0.27,1.4724,4.0
26工商银行CD051,98.54,1.4724,-0.21,1.4724,4.0
26农业银行CD077,98.55,1.4726,-0.74,1.4726,4.0
26农业银行CD186,98.53,1.4849,-0.52,1.4849,4.0
26农业银行CD161,98.54,1.4777,-0.73,1.4777,4.0
26秦农农商银行CD043,98.43,1.4952,0.3,1.4927,4.0
26桂林银行永续债01,100.24,,,,4.0
26南京银行CD166,98.52,1.5,-10.0,1.5,4.0
26中国银行CD032,98.91,1.4601,-0.49,1.4601,4.0
26立讯精工SCP005,99.93,1.55,0.01,1.55,4.0
26中信银行CD149,98.93,1.4601,-0.25,1.4601,4.0
26工商银行CD063,98.55,1.4725,-0.75,1.4725,4.0
26建设银行CD247,98.54,1.4823,-0.27,1.4843,4.0
25农业银行CD310,98.35,1.3878,0.87,1.3878,4.0
26中信银行CD171,99.64,1.3853,-0.37,1.3825,4.0
21湖南债106,120.64,1.9625,,1.9594,4.0
26建设银行CD235,98.53,1.485,0.1,1.485,4.0
25建设银行CD387,98.34,1.3805,1.15,1.3876,4.0
26农业银行CD076,99.29,1.4404,0.06,1.4404,4.0
26浙商银行CD037,98.5,1.4651,-0.24,1.4651,4.0
26浦发银行CD059,98.49,1.4599,-0.26,1.4599,4.0
26民生银行CD042,98.48,1.4676,0.26,1.4676,4.0
26工商银行CD045,98.54,1.4725,-0.25,1.475,4.0
26湖北银行CD018,99.25,1.3946,2.39,1.3946,4.0
26华夏银行CD234,98.91,1.4776,0.26,1.4788,4.0
25广东债66,103.63,2.0035,-0.5,2.0048,4.0
26中信银行CD152,98.92,1.4599,-0.27,1.4599,4.0
26青岛银行CD054,98.52,1.5001,0.02,1.5001,4.0
26南京银行CD125,98.54,1.4851,,1.4851,4.0
26工商银行CD123,98.54,1.478,0.49,1.478,4.0
22广东债38,116.97,1.9631,-0.71,1.9633,4.0
26北京银行CD049,99.28,1.4478,1.0,1.4478,4.0
26建设银行CD218,98.53,1.486,0.2,1.485,4.0
26建设银行CD279,98.54,1.485,-53.77,1.7533,4.0
25交通银行CD284,98.77,1.3792,-1.9,1.3792,4.0
26光大银行CD012,98.47,1.4614,0.15,1.4614,4.0
26中信银行CD127,98.55,1.4776,0.26,1.4776,4.0
24湖南债58,102.71,1.4575,-0.09,1.4574,4.0
26江苏银行CD137,98.9,1.485,0.49,1.485,4.0
26工商银行CD061,98.55,1.4801,0.27,1.4801,4.0
26建设银行CD079,98.54,1.4774,1.25,1.4774,4.0
26湖北银行CD022,99.27,1.4445,,1.4445,4.0
25光大银行CD258,98.42,1.4398,-0.01,1.4372,4.0
26建设银行CD223,99.64,1.4551,1.99,1.4477,4.0
26光大银行CD077,98.54,1.485,-0.1,1.485,4.0
26华夏银行CD242,99.64,1.4398,,1.4399,4.0
26南京银行CD248,99.28,1.465,-0.01,1.465,4.0
26兴业银行CD085,98.55,1.4775,-0.1,1.4775,4.0
25工商银行CD260,98.36,1.3791,1.04,1.3791,4.0
25交通银行CD265,98.43,1.4352,0.01,1.4352,4.0
26工商银行CD149,98.54,1.481,1.0,1.483,4.0
26附息国债06,100.05,1.2519,0.49,1.2498,3.9299
25国开02,100.14,1.3175,0.24,1.3166,3.9
24江苏银行永续债01,102.18,,,,3.9
21福建13,124.43,1.92,0.5,1.9167,3.9
26江苏债20,101.82,2.235,1.0,2.2329,3.9
26江苏27,102.42,2.2775,0.4,2.2766,3.9
24农发20,104.33,1.7025,1.0,1.7026,3.9
24附息国债14,101.8,1.26,0.75,1.2553,3.804
24进出10,105.21,1.7,0.25,1.6954,3.8
26海峡股份MTN001(并购),99.6,1.835,-1.5,1.835,3.8
24兴业银行二级资本债01,102.28,2.1737,-0.09,2.1742,3.8
26国新控股MTN003(稳增长扩投资专项债),100.45,2.0484,0.38,2.0473,3.8
23海南36,103.14,1.27,0.25,1.27,3.8
26澄瑞ABN007优先,99.95,,,,3.76
26附息国债09,99.94,1.1525,-0.25,1.1525,3.7
24农发03,100.4,1.29,1.0,1.2901,3.7
25电网MTN019,101.09,1.98,1.0,1.9796,3.7
26工行二级资本债05BC,99.88,1.8235,0.1,1.8242,3.7
21附息国债14,126.6,2.1525,0.95,2.1419,3.6902
26豫交投MTN004,99.84,,,,3.6
22中国银行二级01,100.63,3.1175,0.1,3.1189,3.6
26华电SCP002,100.0,1.4464,-1.58,1.4518,3.6
22山东债50,123.94,2.155,,2.155,3.6
23国开10,107.39,1.6425,0.75,1.637,3.53
26郑州银行二级资本债01,100.19,1.9487,-0.52,1.9498,3.5
25江苏31,101.07,1.473,0.04,1.4724,3.5
24建行债01A,100.41,1.4349,-1.51,1.4349,3.5
26广东债42,100.11,2.275,0.5,2.277,3.5
25浦发银行CD283,98.39,1.4353,-0.13,1.4367,3.5
25农发清发32,100.31,1.4125,-0.25,1.4146,3.5
22浙江债39,117.44,1.9703,1.0,1.9703,3.4
22附息国债02,100.46,1.03,-1.0,1.03,3.4
26深圳国控MTN002,99.62,1.67,1.0,1.67,3.4
23华夏银行债04,100.16,1.3797,-0.06,1.3706,3.4
21国开05,109.07,1.538,0.55,1.5353,3.3
25农发09,100.42,1.44,1.0,1.44,3.3
21建设银行二级03,100.33,3.5263,1.0,3.5262,3.3
25注资特别国债02,100.74,1.4325,0.5,1.4322,3.3
24光大银行债02,100.55,1.4725,-0.25,1.4741,3.3
17农发15,102.99,1.339,-0.1,1.34,3.3
26江西债33,100.77,2.2202,-0.14,2.2235,3.3
26湖北债74,99.8,2.2825,0.75,2.2803,3.3
23附息国债04,109.01,1.4125,0.5,1.4122,3.2035
21国开10,108.45,1.5425,0.25,1.5416,3.2
26重庆债49,100.0,1.7603,0.03,1.7604,3.2
25超长特别国债01,98.61,2.07,0.2,2.0671,3.2
19交通银行二级02,108.08,3.3144,-0.05,3.3152,3.2
25中行永续债01BC,100.86,,,,3.2
26河北38,103.12,2.275,0.5,2.2781,3.2
25农行二级资本债02B(BC),101.04,2.0326,0.34,2.0323,3.2
25浙江69,101.4,1.7435,1.0,1.7435,3.2
23华夏银行债05,100.29,1.3702,0.03,1.3702,3.2
22建行永续债01,101.62,,,,3.2
23浙江债72,108.11,1.53,,1.53,3.1
24江苏债27,104.13,1.813,0.85,1.809,3.1
25江苏债45,100.98,1.7444,0.09,1.7445,3.1
24进出清发17,102.34,1.565,0.5,1.5627,3.1
24农发13,100.4,1.3229,-0.01,1.323,3.1
26湖北37,100.28,1.476,0.1,1.476,3.1
25附息国债23,100.33,1.245,0.25,1.245,3.1
24附息国债06,103.98,1.365,0.5,1.3615,3.033
24江苏债35,100.33,1.22,-1.0,1.22,3.0
24四川债64,103.87,1.6342,1.52,1.6345,3.0
26浦发银行CD159,98.54,1.48,-0.5,1.48,3.0
22重庆债02,114.16,1.69,-1.1,1.6933,3.0
24辽宁债02,104.65,1.441,2.1,1.4407,3.0
26农业银行CD064,98.53,1.4826,0.26,1.4835,3.0
25贵州债37,102.07,2.2825,0.45,2.2833,3.0
26重庆农村商行CD144,98.9,1.4849,,1.4849,3.0
26工行永续债03BC,100.18,,,,3.0
26中国银行CD036,99.27,1.4575,0.75,1.4558,3.0
23中财再保险资本补充债01,102.93,3.6727,0.84,3.6724,3.0
26安吉城运MTN001,100.22,1.9039,-0.61,1.9039,3.0
25江苏银行债04BC,100.66,1.56,0.5,1.5588,3.0
26中交投SCP003,99.97,1.5001,1.03,1.5001,3.0
26民生银行CD207,99.64,1.44,-1.63,1.44,3.0
23浙商银行二级资本债01,103.18,2.9387,1.0,2.9392,3.0
26附息国债01,100.02,1.165,0.04,1.165,3.0
21国开20,119.86,1.9622,0.42,1.9637,3.0
26农业银行CD085,99.29,1.4423,0.21,1.4423,3.0
