债券代码,债券简称,发行起始日,发行终止日,计划发行总量,实际发行总量,发行价格,单位面值,缴款日,增发次数,交易市场,发行方式,发行对象,公告日期,债券名称
199622,大连2612,2026-04-28,2026-04-28,11.2833,11.2833,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(三期)
199622,26大连债12,2026-04-28,2026-04-28,11.2833,11.2833,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(三期)
237000,26大连12,2026-04-28,2026-04-28,11.2833,11.2833,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(三期)
199621,大连2611,2026-04-28,2026-04-28,18.0,18.0,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(二期)
199621,26大连债11,2026-04-28,2026-04-28,18.0,18.0,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(二期)
236699,26大连11,2026-04-28,2026-04-28,18.0,18.0,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年大连市地方政府再融资一般债券(二期)
235950,26天津22,2026-04-28,2026-04-28,1.0,1.0,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(七期)
235950,26天津22,2026-04-28,2026-04-28,1.0,1.0,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(七期)
566385,天津2622,2026-04-28,2026-04-28,1.0,1.0,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(七期)
235951,26天津23,2026-04-28,2026-04-28,16.0,16.0,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(八期)
235951,26天津23,2026-04-28,2026-04-28,16.0,16.0,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(八期)
566386,天津2623,2026-04-28,2026-04-28,16.0,16.0,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(八期)
235953,26天津25,2026-04-28,2026-04-28,86.9575,86.9575,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十期)
235953,26天津25,2026-04-28,2026-04-28,86.9575,86.9575,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十期)
566388,天津2625,2026-04-28,2026-04-28,86.9575,86.9575,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十期)
235954,26天津26,2026-04-28,2026-04-28,114.2925,114.2925,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十一期)
235954,26天津26,2026-04-28,2026-04-28,114.2925,114.2925,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十一期)
566389,天津2626,2026-04-28,2026-04-28,114.2925,114.2925,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十一期)
235955,26天津27,2026-04-28,2026-04-28,70.33,70.33,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十二期)
235955,26天津27,2026-04-28,2026-04-28,70.33,70.33,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十二期)
566390,天津2627,2026-04-28,2026-04-28,70.33,70.33,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(十二期)
235952,26天津24,2026-04-28,2026-04-28,85.9,85.9,100.0,100,2026-04-29,0,上交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(九期)
235952,26天津24,2026-04-28,2026-04-28,85.9,85.9,100.0,100,2026-04-29,0,银行间债券市场,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(九期)
566387,天津2624,2026-04-28,2026-04-28,85.9,85.9,100.0,100,2026-04-29,0,深交所,荷兰式招标发行,,2026-04-21,2026年天津市地方政府再融资专项债券(九期)
236584,26上海11,2026-04-27,2026-04-27,86.55,86.55,100.68,100,2026-04-28,1,上交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(七期)
2605404,26上海债11,2026-04-27,2026-04-27,86.55,86.55,100.68,100,2026-04-28,1,银行间债券市场,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(七期)
566263,上海2611,2026-04-27,2026-04-27,86.55,86.55,100.68,100,2026-04-28,1,深交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(七期)
236581,26上海08,2026-04-27,2026-04-27,67.84,67.84,100.49,100,2026-04-28,1,上交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(四期)
2605401,26上海债08,2026-04-27,2026-04-27,67.84,67.84,100.49,100,2026-04-28,1,银行间债券市场,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(四期)
566260,上海2608,2026-04-27,2026-04-27,67.84,67.84,100.49,100,2026-04-28,1,深交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(四期)
236579,26上海06,2026-04-27,2026-04-27,109.12,109.12,100.25,100,2026-04-28,1,上交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(二期)
2605399,26上海债06,2026-04-27,2026-04-27,109.12,109.12,100.25,100,2026-04-28,1,银行间债券市场,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(二期)
566258,上海2606,2026-04-27,2026-04-27,109.12,109.12,100.25,100,2026-04-28,1,深交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(二期)
236578,26上海05,2026-04-27,2026-04-27,40.0,40.0,100.2,100,2026-04-28,1,上交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(一期)
2605398,26上海债05,2026-04-27,2026-04-27,40.0,40.0,100.2,100,2026-04-28,1,银行间债券市场,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(一期)
566257,上海2605,2026-04-27,2026-04-27,40.0,40.0,100.2,100,2026-04-28,1,深交所,荷兰式招标发行,,2026-04-30,2026年上海市政府专项债券(一期)
236678,26北京22,2026-04-27,2026-04-27,4.96,4.96,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(八期)
2605469,26北京债22,2026-04-27,2026-04-27,4.96,4.96,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(八期)
566373,北京2622,2026-04-27,2026-04-27,4.96,4.96,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(八期)
236679,26北京23,2026-04-27,2026-04-27,5.29,5.29,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(九期)
2605470,26北京债23,2026-04-27,2026-04-27,5.29,5.29,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(九期)
566374,北京2623,2026-04-27,2026-04-27,5.29,5.29,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(九期)
236680,26北京24,2026-04-27,2026-04-27,48.2,48.2,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十期)
2605471,26北京债24,2026-04-27,2026-04-27,48.2,48.2,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十期)
566375,北京2624,2026-04-27,2026-04-27,48.2,48.2,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十期)
236681,26北京25,2026-04-27,2026-04-27,80.61,80.61,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十一期)
2605472,26北京债25,2026-04-27,2026-04-27,80.61,80.61,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十一期)
566376,北京2625,2026-04-27,2026-04-27,80.61,80.61,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十一期)
236682,26北京26,2026-04-27,2026-04-27,6.71,6.71,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十二期)
2605473,26北京债26,2026-04-27,2026-04-27,6.71,6.71,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十二期)
566377,北京2626,2026-04-27,2026-04-27,6.71,6.71,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十二期)
236683,26北京27,2026-04-27,2026-04-27,8.15,8.15,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十三期)
2605474,26北京债27,2026-04-27,2026-04-27,8.15,8.15,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十三期)
566378,北京2627,2026-04-27,2026-04-27,8.15,8.15,100.0,100,2026-04-28,0,深交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十三期)
236684,26北京28,2026-04-27,2026-04-27,2.54,2.54,100.0,100,2026-04-28,0,上交所,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十四期)
2605475,26北京债28,2026-04-27,2026-04-27,2.54,2.54,100.0,100,2026-04-28,0,银行间债券市场,荷兰式招标发行,,2026-04-20,2026年北京市政府专项债券(十四期)
